ID,Pages,Test,Domain,Skill,Source_PDF
7a5a74a6,13,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-medium.pdf
7625073d,14,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-medium.pdf
968e9e51,15,Math,Algebra,Linear inequalities in one or two variables,./dedup/dedup-math-excluded-medium.pdf
aa85b138,16,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-medium.pdf
15daa8d6,17,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-medium.pdf
12ee1edc,18,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-medium.pdf
620fe971,19,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-medium.pdf
17d80dc3,20,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-medium.pdf
6e6a3241,21,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-medium.pdf
af711d1b,22,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-medium.pdf
5cf1bbc9,23,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-medium.pdf
9c7741c6,24,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-medium.pdf
018a2704,25,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-medium.pdf
ed92fb68,26,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-medium.pdf
606cdce7,27,Math,Algebra,Linear equations in two variables,./dedup/dedup-math-excluded-medium.pdf
19fdf387,28,Math,Algebra,Systems of two linear equations in two variables,./dedup/dedup-math-excluded-medium.pdf
a775af14,29,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-medium.pdf
dae126d7,30,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-medium.pdf
bf5f80c6,31,Math,Algebra,Linear inequalities in one or two variables,./dedup/dedup-math-excluded-medium.pdf
80da233d,32,Math,Algebra,Linear inequalities in one or two variables,./dedup/dedup-math-excluded-medium.pdf
271f7e3f,33,Math,Algebra,Linear functions,./dedup/dedup-math-excluded-medium.pdf
70e29454,34,Math,Algebra,Linear equations in one variable,./dedup/dedup-math-excluded-medium.pdf
