ID,Pages,Difficulty,Test,Domain,Skill,Source_PDF
00bb356a,55,easy,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,./dedup/dedup-rw-excluded-easy.pdf
4154a7a3,56,easy,Reading and Writing,Expression of Ideas,Transitions,./dedup/dedup-rw-excluded-easy.pdf
d3898d32,57,easy,Reading and Writing,Expression of Ideas,Transitions,./dedup/dedup-rw-excluded-easy.pdf
7f2781fd,58,easy,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,./dedup/dedup-rw-excluded-easy.pdf
420dea42,59,easy,Reading and Writing,Expression of Ideas,Transitions,./dedup/dedup-rw-excluded-easy.pdf
333b2b65,60,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
6fece68e,61,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
1724dac2,62,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
a1e0c981,63,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
aab78b25,64,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
26c8c88c,65,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
89ab0d46,66,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
ea8f4658,67,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
c21df211,68,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
7b950fc2,69,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
b1e8b87f,70,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
667a0587,71,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
b6de636f,72,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
603755a5,73,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
5aa1fffd,74,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
1f39ab8b,75,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
