ID,Pages,Test,Domain,Skill,Source_PDF
e1546fd6,27,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
5432d1de,28,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
3882ddf6,29,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
d74b9bc6,30,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
a2b0fc3b,31,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
2584bcfb,32,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
25290c8d,33,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
7ae8065c,34,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
cbecb873,35,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
99fdf71c,36,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
ff18829b,37,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
e2829dd7,38_39,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
350e2336,40_41,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
f8befe75,42,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
3f05e40f,43,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
659c6c1d,44,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
5d6ab069,45,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
2df730d0,46,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
1d08c7ee,47_48,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
adbcbce0,49,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
dd349efc,50,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
1db1a9a6,51,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
95146ebb,52,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
485962a6,53,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
d8b78a2b,54,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
ac5536c1,55,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
1aa3f174,56,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
145d5ca7,57,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
be34a3df,58,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
8f6d6ae6,59,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
870ae7ec,60,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
b0a525be,61,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
eef91a50,62,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
01a32c84,63,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
67667d72,64,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
b6560e5a,65,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
403d7bb5,66,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
6b49f5f1,67,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
5cc85f01,68,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
40c3589d,69,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
c8540a5b,70,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
c101fc44,71,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
a427a52c,72,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
c04e9136,73,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
fe41f258,74,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
3ed5ebb4,75,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
